trip_distance_km,time_of_day,day_of_week,traffic_conditions,weather,trip_duration_minutes,trip_price
26.48,Morning,Weekend,Medium,Clear,47.97,44.844
27.79,Evening,Weekday,Low,Clear,49.63,44.1197
10.06,Morning,Weekday,Medium,Rain,16.0,20.1596
48.51,Evening,Weekday,High,Rain,110.18,104.1764
38.98,Afternoon,Weekday,Low,Clear,15.47,57.0766
47.04,Night,Weekday,Medium,,79.54,98.3796
44.85,Evening,Weekend,Medium,Rain,52.52,41.9343
30.3,Night,Weekend,Low,Clear,51.65,72.2695
46.17,Afternoon,Weekday,Medium,Clear,83.15,99.8989
5.34,,Weekday,Low,Clear,12.72,10.2366
10.6,Afternoon,Weekday,Medium,Clear,73.28,32.342
3.22,Afternoon,Weekday,Low,Rain,93.78,37.1504
16.94,Afternoon,Weekday,Medium,Snow,100.24,78.715
20.05,Evening,,Low,,24.61,29.8609
14.3,Night,Weekday,High,Clear,108.2,59.181
41.61,Evening,Weekend,Low,Rain,,47.314800000000005
18.48,Afternoon,Weekday,Medium,Clear,106.41,69.6575
146.0670471598387,Afternoon,Weekday,Medium,Clear,60.81,320.958663578238
27.59,Evening,Weekend,Medium,Rain,67.33,61.459500000000006
7.91,Morning,Weekday,Medium,Clear,110.69,68.3748
40.31,Morning,Weekday,Medium,Clear,108.49,71.2142
4.65,Afternoon,Weekday,Medium,,56.54,33.8442
49.36,Morning,,High,Rain,36.56,65.084
38.84,Morning,Weekend,Low,Clear,50.21,69.52810000000001
10.74,Morning,,Medium,Clear,49.59,23.5462
1.27,Morning,Weekday,High,Clear,37.99,11.3358
40.96,Morning,Weekend,High,,35.89,92.8432
35.64,Night,Weekend,High,Rain,104.02,36.4388
36.72,,Weekend,Low,Clear,13.03,61.8883
38.79,Afternoon,Weekday,Low,Clear,82.93,104.2421
4.63,Afternoon,Weekday,Medium,Clear,24.87,18.8626
18.56,Morning,Weekend,Medium,Snow,44.62,45.385000000000005
6.68,Night,Weekend,Medium,Clear,12.08,16.9284
43.29,Evening,Weekday,Medium,Rain,36.05,94.2463
31.54,Morning,Weekday,High,Clear,93.37,87.6076
17.21,Afternoon,Weekday,Low,Rain,106.78,42.8661
4.11,Evening,Weekend,High,Rain,30.48,11.2613
,Night,Weekday,Medium,Clear,58.31,45.8161
16.93,Afternoon,Weekday,Low,Snow,59.09,42.9949
36.75,Afternoon,Weekday,Medium,Clear,105.46,76.2217
,,Weekday,Medium,Clear,92.72,57.9476
44.47,Night,Weekend,Low,Clear,64.0,59.761300000000006
24.14,Morning,Weekday,Low,,82.14,55.3948
6.86,Night,Weekend,High,Clear,102.45,29.4658
35.95,Afternoon,Weekend,Low,Clear,6.1,40.4165
38.28,Afternoon,Weekday,Medium,Clear,51.33,63.56110000000001
28.5,Afternoon,Weekday,Medium,Clear,109.33,105.9418
,Morning,Weekend,Medium,Clear,67.43,60.077
26.61,Morning,Weekday,Low,Rain,65.91,33.0286
21.95,Morning,Weekday,Medium,Clear,44.99,27.865
2.25,Evening,Weekend,Low,Clear,,40.65
6.29,Afternoon,Weekday,,Clear,80.37,29.645000000000003
2.54,Morning,Weekend,Low,Clear,53.11,25.7527
32.18,Night,Weekday,Medium,Rain,87.13,62.4923
16.4,Evening,Weekday,,Rain,104.04,53.9332
25.92,Night,Weekday,Low,Clear,22.79,58.7766
45.47,Night,Weekend,Low,Rain,56.93,73.4155
13.22,Morning,Weekday,Low,Rain,51.92,31.99
21.11,Afternoon,Weekend,High,Rain,84.06,34.3067
38.02,Evening,,,Clear,33.73,66.2817
112.8309582902826,Afternoon,Weekday,High,Snow,78.63,233.00828520738887
102.74755620694734,Evening,Weekday,Medium,Clear,53.09,274.53508679715014
,Morning,Weekday,Low,Clear,109.77,37.355900000000005
46.56,Morning,Weekday,Low,Clear,119.21,99.8038
40.6,Afternoon,Weekend,Medium,Clear,17.2,29.532000000000004
32.04,Afternoon,Weekday,Low,Clear,31.8,30.446
43.7,,Weekday,Low,Clear,114.29,106.0042
40.38,Morning,Weekday,Medium,Rain,115.21,63.432300000000005
10.14,Evening,Weekday,High,Rain,16.24,19.974400000000003
44.74,,Weekday,Medium,Clear,6.72,62.8678
27.43,Morning,Weekend,Low,Rain,23.53,52.7821
40.56,Evening,Weekend,Medium,Rain,119.54,82.0828
44.91,Night,Weekday,Low,Rain,25.7,63.0611
6.39,Evening,Weekday,High,Clear,102.57,51.6275
12.17,Afternoon,Weekend,Low,Rain,7.35,25.4826
21.93,Afternoon,,Low,,74.52,48.024
41.08,Morning,,Low,,36.86,90.5124
43.18,Afternoon,Weekday,High,Clear,104.17,98.6948
1.34,,Weekend,Medium,Clear,37.6,22.718200000000003
26.03,Morning,Weekday,Medium,Clear,83.98,76.20850000000002
21.45,Evening,Weekday,Medium,Clear,82.54,53.056
11.88,Afternoon,Weekday,,,30.47,22.544600000000003
6.87,Morning,Weekday,Medium,Rain,9.0,14.935
17.54,Morning,Weekday,Low,Rain,52.06,50.696
,Afternoon,Weekend,Low,Clear,38.26,85.6182
16.84,Morning,Weekend,Medium,Snow,98.03,30.942000000000004
26.42,Evening,Weekday,High,Clear,97.04,75.22040000000001
,,,Low,Clear,57.56,73.587
18.82,Afternoon,Weekday,Low,Rain,74.75,22.8766
48.62,Afternoon,Weekend,Low,Rain,74.49,67.2293
48.16,,Weekend,,Rain,100.12,110.2544
109.61608204688008,Afternoon,Weekday,High,Clear,53.88,327.21766546350466
,Afternoon,Weekend,Medium,Rain,36.68,44.7092
15.74,Afternoon,Weekday,,Clear,35.48,39.4624
14.96,Morning,Weekday,Medium,Rain,66.66,28.5862
2.81,Evening,Weekend,Low,Rain,56.65,27.4942
30.87,Evening,Weekday,Medium,Clear,55.61,76.4286
25.63,Afternoon,Weekday,Medium,Clear,15.48,54.1556
3.52,Evening,Weekday,Medium,Rain,87.64,29.4228
14.65,Evening,Weekend,High,Clear,29.58,40.020700000000005
45.51,Evening,Weekday,Medium,Clear,27.65,36.4958
12.74,Evening,Weekday,Low,Rain,52.47,35.357200000000006
8.1,Afternoon,Weekend,High,Clear,31.19,14.6127
24.98,Afternoon,Weekend,Low,Rain,72.14,52.5934
49.3,Afternoon,Weekday,Low,Clear,47.72,63.866
12.86,Evening,Weekday,Low,Clear,56.62,39.5698
33.93,Morning,Weekday,Low,Rain,66.77,59.92869999999999
38.32,Evening,Weekday,Medium,Clear,28.41,52.6453
12.64,Evening,Weekday,Medium,Clear,22.91,20.3819
36.68,,Weekend,High,Rain,106.25,76.6192
19.02,Evening,Weekday,Medium,Clear,54.88,35.0028
31.98,Morning,,Medium,Clear,52.39,57.7533
32.04,,Weekday,Low,Clear,9.1,40.8518
27.25,Evening,Weekend,Low,Rain,,66.566
5.42,Morning,Weekday,Medium,Rain,68.73,30.318
41.93,Evening,Weekend,Medium,Rain,69.27,87.6519
,Evening,Weekday,High,Clear,86.31,51.9016
3.0,Morning,Weekday,Low,Clear,34.01,19.6645
29.95,Morning,Weekday,Medium,Clear,98.23,48.7802
34.2,,Weekday,Low,Clear,113.92,86.1412
1.81,Night,Weekday,Low,Rain,20.63,12.5567
26.09,,Weekday,Medium,Rain,62.23,54.62179999999999
12.1,Morning,Weekend,Low,Clear,,19.2643
32.61,Afternoon,,Medium,Clear,11.91,31.3891
9.54,Afternoon,Weekend,,Rain,42.43,33.1785
34.86,Evening,Weekday,Low,Clear,21.52,62.895
7.74,Afternoon,Weekday,Low,Clear,21.54,15.0994
17.71,Night,Weekday,Medium,Clear,6.06,31.829600000000003
6.56,Afternoon,Weekday,Low,Clear,97.94,39.4174
46.31,Afternoon,Weekday,Medium,Rain,,96.939
43.99,Night,Weekday,Low,Clear,74.71,66.5363
13.64,Morning,Weekday,Medium,Rain,43.75,29.5606
33.34,Night,Weekend,Medium,Clear,72.33,51.2721
41.04,Afternoon,Weekend,High,Clear,41.3,63.522400000000005
28.2,Morning,Weekend,Low,Clear,15.0,37.086
26.95,Afternoon,Weekend,Low,Clear,,44.7548
12.85,Evening,Weekday,Low,Snow,26.63,23.4957
5.56,Morning,Weekday,High,Clear,54.22,19.145
,Afternoon,Weekend,Medium,Clear,80.7,76.1018
45.12,Afternoon,Weekday,Medium,Clear,35.34,79.70039999999999
32.02,Afternoon,Weekday,,Clear,6.39,60.38660000000001
17.61,Morning,Weekday,Low,Clear,64.68,58.257000000000005
18.11,Evening,,Low,Rain,74.66,59.7113
,Night,Weekday,High,Clear,115.73,89.0764
,Night,Weekend,Medium,Clear,72.79,77.18900000000001
44.47,Evening,Weekday,High,Clear,59.18,95.1969
39.21,Morning,Weekday,Low,Snow,70.94,54.6348
32.46,Evening,Weekend,,Clear,111.71,102.8806
5.12,Morning,Weekday,Medium,Clear,,51.45840000000001
8.92,Morning,Weekday,Low,Clear,42.14,28.4048
45.03,Afternoon,Weekday,High,Clear,32.28,53.2857
30.72,Afternoon,Weekend,,Clear,35.2,45.5308
1.45,Evening,Weekend,High,Clear,63.01,12.2396
5.97,Afternoon,Weekday,Medium,Rain,90.57,44.95569999999999
1.25,,Weekday,Low,Rain,12.8,9.8005
8.88,Night,Weekend,High,Clear,88.21,59.96039999999999
27.89,,Weekend,Low,Clear,97.69,31.3844
34.9,Afternoon,Weekend,Medium,Clear,38.29,44.1375
11.99,Evening,Weekend,Medium,Rain,54.06,40.839400000000005
12.63,Morning,Weekday,Low,,102.2,66.10159999999999
16.94,Morning,Weekend,Low,Clear,65.42,25.662
37.58,Afternoon,Weekday,Low,Snow,84.52,86.22719999999998
32.83,Afternoon,Weekend,Medium,Clear,106.59,58.9648
42.61,Morning,Weekday,Low,Rain,62.01,72.86829999999999
33.22,Night,Weekend,Low,Clear,41.02,70.5816
28.85,Morning,,High,Clear,91.67,63.9534
5.59,Afternoon,Weekday,High,Clear,30.31,17.147599999999997
19.02,Night,Weekday,Low,,49.68,43.9748
13.99,Afternoon,Weekday,,Clear,104.56,69.9337
130.80900130744172,Afternoon,Weekday,High,Clear,88.31,328.8717691378544
48.68,Afternoon,Weekday,Low,Rain,51.44,58.9584
20.26,Morning,Weekday,Low,Rain,29.7,23.0728
31.93,Afternoon,Weekday,Medium,Clear,37.67,71.4247
39.95,Evening,Weekend,Low,Clear,25.25,59.828
25.63,Morning,Weekday,High,Clear,,39.066
29.27,Morning,Weekend,Medium,Rain,33.99,62.982
25.13,Morning,Weekend,Medium,Rain,57.23,53.2792
,Afternoon,Weekday,Low,Clear,49.37,18.7636
36.4,Afternoon,Weekday,Medium,Clear,117.94,94.105
14.76,Evening,Weekend,Medium,Clear,49.98,55.71979999999999
2.19,Afternoon,Weekday,Medium,Clear,14.2,6.472899999999999
32.63,Night,Weekday,Medium,Clear,15.33,35.8539
9.68,Morning,Weekday,Medium,,72.94,31.341
47.08,Evening,Weekend,High,Rain,73.93,65.587
47.74,Evening,Weekday,High,Clear,53.16,44.733
45.83,Evening,Weekday,Medium,Clear,54.66,88.1462
19.14,Evening,Weekend,Low,Snow,11.2,41.6946
1.76,Evening,Weekend,Low,Clear,64.4,23.3132
46.49,Afternoon,Weekday,Low,Clear,63.05,118.0321
21.98,Morning,Weekday,Medium,Clear,22.2,41.2036
48.37,Morning,Weekend,Medium,Clear,,41.2217
48.22,Night,Weekday,Medium,Clear,19.21,105.144
42.8,Afternoon,Weekday,High,Rain,16.62,57.55120000000001
15.43,Evening,Weekday,High,Clear,75.12,29.0991
19.87,Afternoon,Weekend,High,,27.6,41.5138
42.71,Morning,Weekday,Low,Clear,33.91,48.4081
16.53,Morning,Weekend,Medium,Clear,24.96,21.4931
9.31,Afternoon,Weekend,Low,Rain,115.15,32.415000000000006
28.28,Afternoon,Weekday,Low,Rain,103.28,77.5496
46.87,Morning,Weekday,Low,Clear,31.51,92.6832
35.11,Afternoon,Weekday,Low,Rain,42.67,70.2411
28.93,Morning,Weekday,Medium,Clear,29.14,74.5744
5.76,Afternoon,Weekday,High,Snow,61.57,19.3694
31.14,,Weekend,Low,Clear,7.26,35.4798
37.3,Morning,Weekday,Low,Snow,97.47,107.7025
35.15,Afternoon,Weekday,Medium,Rain,96.08,91.8308
116.196063616616,Afternoon,Weekend,Medium,Clear,19.63,206.69956969976877
139.06223019422194,Afternoon,Weekday,Low,Rain,50.83,276.84059674137075
,Morning,Weekday,Low,,24.57,29.5584
40.66,Afternoon,Weekday,Medium,Clear,34.29,41.4292
40.7,Evening,Weekday,,Clear,35.27,91.2296
43.49,Evening,Weekday,Low,Clear,68.97,79.6245
45.75,Morning,Weekday,Medium,Rain,52.31,50.5038
40.12,Morning,Weekend,High,Clear,116.97,96.546
32.85,Night,Weekday,Medium,Clear,31.52,54.4414
35.4,Morning,Weekday,,Clear,93.88,117.7468
39.99,Afternoon,Weekday,High,Clear,43.98,39.538
44.61,Afternoon,Weekday,Low,,21.45,55.9143
17.56,Evening,Weekday,Low,Clear,103.66,36.0458
,Afternoon,Weekday,Low,Clear,40.52,46.274
5.61,,Weekday,High,Clear,,16.6464
29.34,Afternoon,Weekday,High,Clear,70.14,82.3678
23.81,Morning,Weekend,Medium,Rain,62.02,63.1719
100.38042000901908,Afternoon,Weekday,Medium,Rain,89.21,329.9130039401465
15.04,Morning,Weekday,Low,Clear,15.09,33.4311
29.95,Morning,Weekday,High,Clear,81.84,69.47070000000001
2.49,Afternoon,Weekday,Low,Clear,108.02,41.699
2.83,Morning,Weekday,Low,Snow,11.65,8.920300000000001
41.31,Afternoon,Weekday,Medium,Clear,21.18,56.05960000000001
18.65,Afternoon,Weekday,Medium,Clear,87.41,54.49459999999999
7.23,Evening,Weekday,Low,Clear,55.29,33.7491
26.59,Morning,Weekday,Medium,Clear,51.41,34.2597
38.73,Morning,Weekday,Medium,Clear,20.75,87.29869999999998
11.58,Morning,Weekday,Low,Rain,63.28,26.9202
31.52,,Weekday,Low,Clear,19.55,29.0925
5.18,Evening,Weekday,Medium,Clear,59.81,21.7323
3.53,Morning,Weekend,Low,Clear,92.82,16.1211
27.04,Night,Weekday,High,Clear,,25.6218
145.74705994904548,Morning,Weekday,High,Rain,60.29,325.0989498083767
32.23,Afternoon,Weekday,High,Clear,119.08,70.5144
36.58,Evening,Weekend,,Rain,83.96,57.791
48.82,Evening,Weekday,High,Clear,101.76,99.5104
26.3,Evening,Weekday,Medium,Clear,52.71,65.9299
16.82,Evening,Weekday,Low,Snow,93.3,65.1668
39.96,Afternoon,Weekday,Low,Clear,9.66,45.782
14.27,Evening,Weekday,,Rain,19.13,19.1962
22.51,Morning,Weekday,,Clear,28.35,45.2531
4.84,Evening,,Medium,Rain,51.22,13.9136
2.24,Afternoon,Weekday,Low,Clear,102.26,19.9412
48.17,Evening,Weekend,Medium,Clear,44.82,96.3487
41.96,Afternoon,Weekend,Low,Rain,80.28,68.65440000000001
35.1,Afternoon,Weekday,,Rain,86.57,53.5767
21.04,Afternoon,Weekday,Low,Rain,72.41,34.726
9.49,Evening,,High,Rain,46.08,43.8894
8.67,Morning,Weekday,High,Rain,71.36,53.1349
13.26,Morning,Weekday,Medium,Clear,44.36,38.814400000000006
27.91,Morning,Weekend,Low,Clear,,42.0962
36.02,Morning,Weekend,Low,Clear,119.17,79.2381
33.35,Evening,Weekday,High,Clear,19.63,74.59979999999999
14.72,Morning,Weekday,Low,Clear,13.32,38.0988
47.79,,Weekend,Low,Clear,106.03,71.3962
37.16,Afternoon,Weekend,Low,,39.71,84.4676
28.16,Morning,Weekend,,Clear,79.78,64.7324
,Evening,Weekday,Medium,Clear,42.84,37.4586
13.14,,Weekday,Low,Clear,35.14,23.105000000000004
18.44,Afternoon,Weekday,Low,Rain,44.45,48.027
38.13,,Weekday,High,Rain,52.23,41.544
1.71,Morning,Weekday,High,Clear,87.85,22.4347
6.69,Night,Weekday,Low,Clear,,44.6007
3.25,Night,Weekday,Medium,Clear,,28.5966
3.0,Afternoon,Weekday,Low,Clear,9.82,8.729600000000001
42.92,Morning,Weekday,High,Clear,62.85,71.095
35.48,Afternoon,Weekday,Low,Clear,72.19,81.39859999999999
116.66768073006573,Morning,Weekday,High,Clear,110.82,248.29520891209057
5.79,Morning,Weekday,Medium,Clear,10.65,19.973
25.09,Morning,Weekend,Medium,Snow,70.95,73.5818
24.2,Afternoon,Weekday,Low,Snow,103.17,49.4676
9.49,Evening,Weekday,Medium,Clear,32.82,12.9998
22.26,Evening,Weekday,Medium,Clear,105.77,46.7471
,Evening,,Low,Clear,7.19,45.89750000000001
31.18,Afternoon,Weekday,Medium,Clear,89.23,58.5727
32.12,Afternoon,Weekday,High,Rain,112.31,86.89770000000001
3.22,Afternoon,Weekday,Medium,Clear,80.58,32.151399999999995
19.36,Night,Weekday,Medium,Rain,55.49,38.3875
31.67,Morning,Weekday,Low,Clear,10.16,23.9563
25.65,Evening,Weekday,Medium,Snow,110.81,48.4142
42.97,Afternoon,Weekend,Low,Clear,59.08,108.9734
33.28,,Weekday,Medium,Rain,8.33,69.9494
8.98,Evening,,High,Clear,84.33,38.1392
4.46,Afternoon,Weekend,Medium,Clear,60.41,23.7068
32.48,Evening,Weekday,Low,Clear,19.3,41.65619999999999
2.3,Night,Weekend,Low,Clear,29.64,13.4484
,Afternoon,Weekday,Medium,Rain,12.42,31.4168
47.07,Morning,Weekday,Medium,Rain,71.04,100.2662
29.2,Afternoon,Weekday,High,Rain,76.53,59.87539999999999
20.02,Night,Weekday,High,Clear,63.16,23.1614
32.52,Morning,Weekday,Medium,Rain,98.97,81.85180000000001
23.45,Afternoon,Weekday,,Clear,104.02,57.915
27.74,Afternoon,Weekday,Low,Clear,75.8,46.9988
47.13,Evening,Weekday,Low,Clear,6.47,66.90710000000001
19.92,Morning,Weekday,Low,Clear,84.95,64.0787
,Evening,Weekday,Medium,Clear,,66.1816
45.36,Night,Weekday,Medium,Clear,70.04,54.436800000000005
10.59,Morning,Weekday,Medium,Clear,79.64,38.0619
4.4,Morning,Weekend,Low,Rain,45.28,16.834
5.94,Night,Weekday,Low,Clear,110.47,58.6618
1.89,Morning,Weekend,Low,Clear,20.41,6.1269
5.63,Evening,Weekday,Low,Clear,82.22,51.39649999999999
34.47,Afternoon,Weekday,High,Clear,5.5,41.834700000000005
4.49,Morning,Weekday,Low,Clear,111.33,45.75449999999999
16.63,Evening,,Medium,Clear,17.94,27.6353
42.4,Afternoon,,Low,,15.91,43.823600000000006
2.14,Afternoon,Weekend,High,Clear,43.3,16.525599999999997
40.91,Afternoon,,Medium,Clear,47.96,88.1071
14.81,Afternoon,Weekend,Low,Rain,29.64,20.3458
6.79,Morning,Weekend,Medium,Clear,72.29,22.4883
35.14,Afternoon,Weekend,Medium,Clear,55.94,48.006600000000006
31.82,,Weekend,High,Rain,8.93,37.1212
44.0,Morning,Weekday,Low,Clear,41.76,76.9996
37.02,Afternoon,Weekday,High,,,87.89620000000001
40.37,Afternoon,Weekday,High,Rain,84.32,116.42059999999998
14.82,Evening,Weekday,High,Clear,88.36,31.609
9.69,Morning,Weekday,Medium,Clear,85.28,37.0004
37.78,Night,Weekend,Medium,Clear,40.76,40.9764
40.53,Afternoon,Weekday,Medium,Clear,16.46,58.6974
49.53,Morning,Weekday,Medium,Clear,36.33,68.9135
21.22,Morning,Weekday,Medium,Clear,100.66,73.21499999999999
19.23,Morning,Weekday,Medium,Clear,117.75,89.472
39.04,Afternoon,Weekday,Medium,Clear,61.79,62.0444
17.7,Afternoon,Weekend,Medium,Clear,6.12,27.174
46.61,Evening,Weekday,High,Clear,21.11,97.7908
43.06,Afternoon,,Low,Clear,42.04,94.3478
37.79,Afternoon,,Medium,Clear,13.64,44.6222
37.97,Evening,Weekday,High,Rain,113.49,97.57659999999998
6.05,Morning,Weekday,Medium,Clear,46.98,24.4754
,Morning,,Low,Clear,109.95,60.7045
25.76,Morning,Weekday,High,Clear,94.76,36.7152
41.5,Evening,Weekday,Low,Clear,91.88,102.72459999999998
,Afternoon,Weekday,High,Rain,74.77,26.1176
44.88,Afternoon,Weekday,Medium,Clear,77.08,68.4404
20.07,Evening,Weekday,Medium,Snow,78.37,32.155
45.36,Afternoon,Weekend,Medium,Rain,68.68,101.2576
5.47,,Weekday,Low,Clear,118.44,44.69539999999999
104.37179088913676,,Weekday,Low,Rain,89.21,206.50865196831717
47.55,Morning,Weekday,Low,Clear,94.35,123.928
47.58,Morning,Weekday,Low,Clear,105.33,74.8463
29.1,Morning,Weekday,High,Clear,29.8,30.698
31.96,Afternoon,Weekday,High,Clear,14.64,35.0564
22.97,Night,Weekend,Low,Rain,60.53,31.8132
15.37,Morning,Weekday,,Clear,64.12,45.1203
,Morning,Weekday,Low,Clear,100.36,51.031000000000006
33.95,Afternoon,Weekday,Medium,Rain,,59.475
37.87,Night,Weekday,High,Clear,70.65,64.5434
39.79,Afternoon,Weekday,High,Snow,,101.5506
39.69,Afternoon,Weekday,Medium,Rain,,31.0915
5.47,Morning,Weekend,Medium,Clear,75.75,19.8829
25.23,Morning,Weekday,Low,Rain,100.22,51.0291
,Night,Weekday,High,Clear,23.11,19.2572
27.93,Night,Weekend,Low,Clear,73.35,34.4608
44.5,Night,Weekend,Medium,Clear,23.88,80.18099999999998
,Afternoon,Weekday,Medium,Rain,19.2,39.9065
6.74,Evening,Weekend,Low,Rain,117.71,34.5311
8.01,Afternoon,Weekday,High,Clear,50.28,31.7102
38.31,Afternoon,Weekend,Low,Clear,31.15,40.2799
31.29,Afternoon,Weekend,Medium,Snow,24.7,46.8086
5.96,Afternoon,Weekday,Low,Clear,81.77,27.8795
5.12,Morning,Weekend,Low,Clear,75.09,28.7693
35.35,Morning,Weekday,Medium,Clear,79.01,58.825
4.57,,Weekday,Medium,Rain,15.12,13.0646
41.27,Evening,Weekday,Low,Clear,107.76,106.2963
,Morning,Weekday,Low,Rain,49.77,59.1773
,Afternoon,Weekday,Medium,,41.04,19.5819
5.16,Night,Weekday,Medium,Clear,58.17,26.6477
49.35,Morning,Weekday,,Clear,49.86,109.4796
19.34,Afternoon,Weekend,Low,,104.31,79.24600000000001
19.16,Afternoon,Weekend,Low,Clear,111.87,34.5791
40.83,Evening,Weekday,Low,Rain,39.9,69.99549999999999
47.42,Morning,Weekday,Low,Rain,104.35,97.4848
,Afternoon,Weekday,Medium,Clear,94.88,70.745
37.92,Evening,Weekday,Medium,Rain,112.04,77.56840000000001
19.44,Night,Weekday,Low,,33.26,55.053
39.08,Afternoon,Weekday,Low,Clear,36.57,83.694
28.36,,Weekend,High,Clear,99.77,49.7657
21.79,Evening,Weekday,High,Clear,5.61,31.7717
45.41,Afternoon,Weekday,Low,Clear,69.95,35.4031
6.45,Morning,Weekday,Low,Clear,44.01,33.5331
25.14,Night,Weekday,High,Rain,42.11,43.069700000000005
1.56,Afternoon,Weekday,High,Clear,79.16,34.2628
23.96,Afternoon,Weekday,,Clear,102.92,83.7848
3.76,Morning,Weekday,,Clear,75.06,22.1476
6.82,Afternoon,Weekday,Low,,103.11,29.965799999999994
6.76,Afternoon,Weekend,Medium,Clear,35.43,27.9315
32.81,Afternoon,Weekend,Low,Clear,64.74,55.82120000000001
37.56,Morning,Weekday,Low,,56.81,84.23230000000001
29.59,Afternoon,Weekday,Medium,Rain,6.34,49.36
48.15,Night,Weekday,Low,Clear,69.03,72.6627
19.37,Morning,Weekday,Medium,Clear,81.08,26.9741
15.0,Night,Weekday,Low,Snow,73.07,46.46469999999999
43.56,Afternoon,Weekday,Low,Rain,89.67,57.426100000000005
11.96,Evening,Weekday,Medium,Snow,70.7,41.71940000000001
48.2,,Weekday,Low,Clear,12.68,68.63480000000001
,Afternoon,Weekday,High,Clear,18.39,14.6611
48.52,Evening,Weekend,Medium,,73.59,96.2845
3.11,Evening,Weekend,Low,Clear,36.62,12.1141
44.67,Afternoon,Weekend,Medium,Rain,14.16,61.09400000000001
26.86,Afternoon,Weekday,Low,Clear,54.4,55.1892
49.66,Afternoon,Weekend,High,Clear,68.75,72.969
,Evening,Weekday,Low,Clear,42.81,29.7551
28.14,Evening,Weekend,Medium,Clear,87.85,86.5536
48.5,Evening,Weekday,Low,Clear,79.03,114.9417
26.63,Afternoon,Weekend,Medium,Clear,43.27,35.08540000000001
31.84,Evening,Weekday,High,Snow,91.81,45.6194
107.78683195771164,Morning,Weekend,High,Clear,79.6,322.7259960920446
23.27,Afternoon,Weekend,Low,Clear,78.31,78.85079999999999
31.75,Morning,Weekday,,Rain,68.64,70.7341
29.63,Afternoon,Weekday,High,Clear,6.31,56.345600000000005
45.16,Afternoon,Weekend,High,Clear,85.1,79.833
3.23,Afternoon,Weekday,Low,Rain,48.24,27.1606
14.77,Afternoon,Weekend,Medium,Clear,113.4,54.42370000000001
47.57,Afternoon,Weekday,Low,Rain,99.07,80.81119999999999
44.62,,Weekday,High,Rain,72.58,60.9462
23.33,Morning,Weekday,Low,Snow,34.0,59.0736
31.39,Afternoon,Weekday,Low,Clear,28.43,36.0271
14.59,Morning,Weekend,Medium,Clear,44.14,25.1968
10.22,Morning,Weekday,,Clear,59.81,23.694900000000004
23.72,Afternoon,Weekday,Medium,Clear,39.05,52.9083
18.31,Afternoon,Weekday,Medium,Rain,64.22,42.6209
29.6,Afternoon,Weekday,Low,Clear,24.02,52.2336
4.81,Afternoon,Weekend,Low,Clear,117.44,46.1779
